Code zone (FAO),Zone,dispo_calorique_totale_kcal_personne_jour,dispo_gras_g_personne_jour,dispo_proteique_totale_g_personne_jour,dispo_interieure_ktonnes,exportations_ktonnes,importations_ktonnes,pertes_ktonnes,production_ktonnes,variation_stock_ktonnes,population,nb_sousalimentes,dispo_calorique_totale_pays_kcal_jour,taux_sousnutrition_pct,taux_couverture_kcal_pct,taux_couverture_prot_pct,taux_autosuffisance_pct,taux_dependance_import_pct,taux_pertes_pct,pop_nourrissable_theorique
32,Cameroun,2900.95,60.5,71.31,34421.0,681.0,3001.0,4602.0,32787.0,1.0,28372690.0,1500000.0,82307755055.5,5.286774006976427,116.038,115.01612903225806,95.25289794021093,8.718514860114466,13.369745213677698,32923102.0222
33,Canada,3590.03,163.06,112.89999999999999,89952.0,73413.0,33672.0,3261.0,127588.0,52.0,39299100.0,982477.5,141084947973.0,2.5,143.6012,182.09677419354838,141.84009249377445,37.4332977588047,3.6252668089647813,56433979.1892
35,Cabo Verde,2793.6099999999997,84.3,82.67999999999999,434.0,21.0,356.0,6.0,111.0,-7.0,522330.00000000006,100000.0,1459186311.3,19.144984971186794,111.74439999999998,133.3548387096774,25.57603686635945,82.02764976958525,1.3824884792626728,583674.52452
38,Sri Lanka,2675.12,39.6,67.55,17084.0,1092.0,4002.0,805.0,13954.0,-24.0,22971620.0,1500000.0,61451840094.399994,6.529796331299228,107.00479999999999,108.9516129032258,81.67876375556075,23.425427300398034,4.712011238585811,24580736.037759997
40,Chili,3057.5099999999998,94.59,105.1,25724.0,8869.0,9839.0,1116.0,24521.0,0.0,19658830.0,491470.75,60107069313.299995,2.5,122.3004,169.51612903225805,95.32343336961591,38.248328409267614,4.338361063598197,24042827.725319996
41,"Chine, continentale",3526.85,100.38,131.59,2523570.0,45707.0,308692.0,126085.0,2267110.0,-91.0,1422584930.0,35564623.25,5017243660370.5,2.5,141.07399999999998,212.24193548387098,89.83741287144798,12.232353372404967,4.996294931386885,2006897464.1482
44,Colombie,3126.33,103.62,83.17,94600.0,4808.0,13179.0,4462.0,85807.0,40.0,52321150.0,2200000.0,163573180879.5,4.204800544330543,125.0532,134.1451612903226,90.70507399577167,13.931289640591965,4.716701902748414,65429272.3518
45,Comores,2390.15,58.87,63.03,688.0,9.0,299.0,24.0,392.0,0.0,850390.0,100000.0,2032559658.5,11.759310434036149,95.60600000000001,101.66129032258064,56.97674418604651,43.4593023255814,3.488372093023256,813023.8634
46,Congo,2187.12,54.67,58.87,4755.0,23.0,1170.0,300.0,3636.0,0.0,6182890.0,1600000.0,13522722376.8,25.877866175849807,87.48479999999999,94.95161290322581,76.46687697160883,24.605678233438486,6.309148264984227,5409088.95072
48,Costa Rica,3061.13,107.78999999999999,91.84,12379.0,7192.0,4725.0,1022.0,14600.0,0.0,5105530.0,127638.25,15628691048.9,2.5,122.44520000000001,148.12903225806454,117.9416754180467,38.16948057193634,8.255917279263269,6251476.41956
50,Chypre,2876.47,109.38,98.72,1795.0,582.0,1416.0,63.0,876.0,1.0,1344980.0,33624.5,3868794620.6,2.5,115.05879999999999,159.2258064516129,48.80222841225626,78.8857938718663,3.50974930362117,1547517.84824
52,Azerbaïdjan,3339.19,94.85,101.97,14142.0,980.0,3253.0,334.0,11746.0,24.0,10318210.0,257955.25,34454463649.9,2.5,133.5676,164.46774193548387,83.05755904398247,23.00240418611229,2.361759298543346,13781785.45996
54,Danemark,3733.88,150.76,126.35,27154.0,12015.0,12996.0,606.0,25600.0,239.0,5948140.0,148703.5,22209640983.2,2.5,149.3552,203.79032258064512,94.27708624880312,47.86035206599396,2.2317154010458866,8883856.39328
56,République dominicaine,3313.44,116.05000000000001,90.05,21307.0,1458.0,4924.0,1168.0,17927.0,0.0,11331270.0,300000.0,37545483268.8,2.6475408316984765,132.5376,145.24193548387098,84.13666870042708,23.109776129910358,5.481766555592059,15018193.307520002
57,Bélarus,3396.23,125.32,127.94,31773.0,1767.0,1349.0,743.0,32171.0,27.0,9115680.0,227892.0,30958945886.4,2.5,135.8492,206.3548387096774,101.252635885815,4.245743241116672,2.3384634752777513,12383578.35456
58,Équateur,2620.94,104.3,69.58,23778.0,9385.0,3218.0,616.0,29917.0,-8.0,17980080.0,2100000.0,47124710875.200005,11.679592081903973,104.8376,112.22580645161291,125.81798300950457,13.533518378332912,2.5906299941122044,18849884.350080002
59,Égypte,3093.9700000000003,54.48,89.72,129899.0,9262.0,26148.0,10016.0,111449.0,-7.0,114535770.0,9800000.0,354370236306.9,8.556278968570256,123.75880000000001,144.70967741935482,85.7966574030593,20.129485215436606,7.71060593230125,141748094.52276
60,El Salvador,2896.32,75.71,88.85,13984.0,1615.0,4632.0,270.0,10917.0,0.0,6309620.0,400000.0,18274678598.4,6.339525993641455,115.8528,143.3064516129032,78.06779176201373,33.12356979405035,1.9307780320366132,7309871.43936
63,Estonie,3286.52,135.54,112.13,2337.0,2095.0,1508.0,26.0,2865.0,6.0,1367200.0,34180.0,4493330144.0,2.5,131.4608,180.8548387096774,122.59306803594352,64.52717158750535,1.1125374411638853,1797332.0576
66,Fidji,2938.02,94.44,87.01,2710.0,293.0,570.0,104.0,2420.0,0.0,924150.0,100000.0,2715171183.0,10.820754206568198,117.52080000000001,140.33870967741936,89.2988929889299,21.033210332103323,3.837638376383764,1086068.4732
67,Finlande,3345.61,123.77,126.11999999999999,10381.0,1393.0,3603.0,219.0,7971.0,22.0,5601190.0,140029.75,18739397275.9,2.5,133.8244,203.41935483870967,76.78451016279742,34.70763895578461,2.109623350351604,7495758.910360001
68,France,3489.55,149.10999999999999,115.99000000000001,158939.0,59387.0,46367.0,6247.0,178743.0,195.0,66438820.00000001,1660970.5000000002,231841584331.00003,2.5,139.582,187.08064516129033,112.46012621194295,29.172827311106776,3.930438721773762,92736633.73240001
70,Polynésie française,3044.81,124.55,110.74,376.0,8.0,243.0,7.0,150.0,3.0,281120.0,100000.0,855956987.1999999,35.571997723392144,121.7924,178.61290322580646,39.8936170212766,64.62765957446808,1.8617021276595744,342382.79487999994
72,Djibouti,2720.96,67.33,74.84,2095.0,962.0,3270.0,6.0,83.0,0.0,1152940.0,200000.0,3137103622.4,17.3469564764862,108.83840000000001,120.70967741935486,3.9618138424821003,156.08591885441527,0.2863961813842482,1254841.44896
73,Géorgie,2999.82,91.8,90.22,4145.0,623.0,2144.0,65.0,2691.0,2.0,3807490.0,100000.0,11421784651.800001,2.6264021704587535,119.99280000000002,145.51612903225805,64.92159227985525,51.72496984318457,1.5681544028950543,4568713.86072
74,Gabon,2686.4900000000002,64.19,84.77,3194.0,105.0,796.0,329.0,2516.0,0.0,2484790.0,500000.0,6675363487.1,20.122424832682036,107.45960000000001,136.7258064516129,78.77269881026926,24.921728240450847,10.300563556668754,2670145.39484
75,Gambie,2402.2799999999997,45.94,58.09,1785.0,65.0,1404.0,25.0,475.0,2.0,2697850.0,500000.0,6480991097.999999,18.533276497952073,96.09119999999999,93.69354838709678,26.610644257703083,78.65546218487395,1.400560224089636,2592396.4391999994
79,Allemagne,3534.51,162.3,109.2,194988.0,62143.0,95756.0,5007.0,162318.0,115.0,84548230.0,2113705.75,298836564417.30005,2.5,141.3804,176.1290322580645,83.24512277678626,49.10866309721624,2.567850329251031,119534625.76692002
80,Bosnie-Herzégovine,3457.7799999999997,96.66,113.64,5817.0,481.0,2453.0,274.0,3837.0,0.0,3185070.0,79626.75,11013271344.599998,2.5,138.31119999999999,183.29032258064518,65.96183599793707,42.16950318033351,4.71033178614406,4405308.537839999
81,Ghana,3124.98,48.69,67.91,61927.0,2578.0,4694.0,12555.0,60164.0,6.0,33787910.0,2200000.0,105586542991.8,6.51120474749696,124.9992,109.53225806451611,97.15309961729133,7.579892454018442,20.273870847933857,42234617.196720004
83,Kiribati,3125.68,130.5,83.4,321.0,158.0,42.0,14.0,443.0,0.0,132530.0,100000.0,414246370.4,75.45461404964914,125.02719999999998,134.51612903225808,138.00623052959503,13.084112149532709,4.361370716510903,165698.54815999998
84,Grèce,3381.65,156.14,112.03,19266.0,8155.0,9924.0,982.0,17345.0,38.0,10242910.0,256072.75,34637936601.5,2.5,135.266,180.69354838709677,90.02906674971453,51.51043288695111,5.097062182082425,13855174.6406
86,Grenade,2826.84,115.26,98.39,140.0,13.0,126.0,5.0,52.0,1.0,117080.0,,330966427.2,,113.0736,158.69354838709677,37.142857142857146,90.0,3.571428571428571,132386.57087999998
89,Guatemala,2823.18,76.95,74.38,45951.0,8573.0,6103.0,1561.0,48903.0,9.0,18124840.0,2400000.0,51169685791.2,13.241496200794048,112.92719999999998,119.96774193548387,106.42423451067442,13.281539030706622,3.397096907575461,20467874.31648
90,Guinée,2947.56,65.91,58.19,17735.0,172.0,2715.0,2037.0,15705.0,0.0,14405470.0,1300000.0,42460987153.2,9.024349778243959,117.9024,93.85483870967741,88.55370735833098,15.308711587256838,11.485762616295462,16984394.861279998
91,Guyana,3318.02,76.97,114.18,2749.0,711.0,484.0,177.0,3024.0,5.0,826350.0,20658.75,2741845827.0,2.5,132.7208,184.16129032258067,110.00363768643142,17.606402328119316,6.438704983630411,1096738.3308
93,Haïti,1958.81,36.99,46.0,6890.0,8.0,2092.0,498.0,4777.0,0.0,11637400.0,6100000.0,22795455494.0,52.41720659253786,78.3524,74.19354838709677,69.33236574746009,30.362844702467346,7.227866473149493,9118182.1976
95,Honduras,2628.17,86.75,63.03,14549.0,2816.0,3709.0,417.0,13640.0,13.0,10644850.0,1600000.0,27976475424.5,15.030742565653815,105.1268,101.66129032258064,93.75214791394598,25.493161041996014,2.866176369509932,11190590.1698
96,Chine - RAS de Hong-Kong,2827.77,108.74000000000001,118.33,7128.0,1907.0,8520.0,163.0,467.0,-32.0,7442730.0,,21046328612.1,,113.1108,190.8548387096774,6.551627384960717,119.52861952861953,2.28675645342312,8418531.44484
97,Hongrie,3549.09,152.64,93.65,21242.0,12220.0,7281.0,294.0,27934.0,66.0,9686460.0,242161.5,34378118321.4,2.5,141.9636,151.0483870967742,131.50362489407777,34.27643348083985,1.38405046605781,13751247.32856
98,Croatie,3447.57,139.72,115.3,7709.0,3755.0,4572.0,253.0,7007.0,26.0,3896020.0,97400.5,13431801671.400002,2.5,137.9028,185.96774193548387,90.89376053962901,59.30730315215982,3.2818783240368403,5372720.668560001
99,Islande,3681.06,163.26999999999998,151.71,691.0,1030.0,450.0,1.0,1261.0,-27.0,387560.0,9689.0,1426631613.6,2.5,147.2424,244.6935483870968,182.48914616497828,65.12301013024602,0.1447178002894356,570652.64544
100,Inde,2668.4900000000002,65.7,74.56,1606728.0,56121.0,29458.0,79044.0,1661556.0,5010.0,1438069600.0,165100000.0,3837474346904.0005,11.48066825138366,106.7396,120.25806451612904,103.41240085440721,1.833415487873492,4.919563236590138,1534989738.7616003
101,Indonésie,2900.32,80.36,77.82,515105.0,44334.0,38713.0,34177.0,520513.0,19.0,281190070.0,18200000.0,815541183822.4,6.472490298110456,116.0128,125.51612903225806,101.04988303355627,7.515555081002902,6.634957921200532,326216473.52896
